51300021797,eda,35,139
51300040169,fed,113,174
51300051568,fgf,65,53
51300060410,cea,7,111
51300107332,cfd,298,163
51300125385,eec,47,285
51300148612,bbc,221,153
51300188941,aef,31,28
51300239186,gac,287,262
51300250137,bee,242,84
51300252030,dfb,194,277
51300290200,dbb,279,241
51300325104,caf,87,200
51300325451,ecg,272,186
51300363432,aaa,187,174
51300403958,feb,65,47
51300420545,bff,184,185
51300452877,baa,256,210
51300481355,bac,62,241
51300534171,gad,297,297
51300572989,dge,67,181
51300587523,fab,266,108
51300607155,dba,1,229
51300607822,beb,89,51
51300618001,edf,18,174
51300622846,daf,6,291
51300653394,cdg,65,179
51300795227,cfg,219,252
51300800129,fgc,151,177
51300835946,ccf,6,72
51300862346,ddd,228,216
51300962148,cga,228,283
51301035516,agg,137,273
51301078081,cdd,231,174
51301082400,gba,269,19
51301099693,bcd,150,279
51301102521,dda,104,78
51301119192,gfe,253,23
51301223663,gcb,95,167
51301271124,fbf,79,270
51301326851,gfb,274,113
51301351852,ddc,121,174
51301392413,ggd,219,15
51301409255,ffc,183,52
51301417782,cfb,79,265
51301430918,gcf,62,125
51301442147,adf,281,11
51301445860,dee,98,220
51301487321,dgd,84,150
51301547568,ccb,254,120
51301564365,eag,51,106
51301568666,bcg,90,14
51301583896,fcf,78,212
51301590784,cge,146,241
51301593507,dfd,132,282
51301603378,ebb,15,276
51301625202,ced,180,244
51301631881,edb,90,209
51301697584,bee,150,89
51301705149,bbd,168,247
51301710154,cgb,99,260
51301715037,bag,283,125
51301744564,adc,113,198
51301785123,dcb,207,250
51301822940,dcg,178,47
51301836466,eag,78,97
51301849320,efd,98,44
51301873491,cbe,184,204
51301910696,beg,144,241
51301933849,cbf,55,269
51301958860,eae,82,137
51301976846,cgf,198,75
51302001118,bbg,97,104
51302024731,dfc,217,109
51302032268,caa,220,205
51302056499,cfa,247,262
51302075553,aed,53,251
51302085353,ggb,154,148
51302091926,bge,154,253
51302146269,dbg,222,12
51302158373,acf,136,270
51302164698,aff,150,262
51302171316,fca,27,181
51302178560,gfg,16,207
51302211475,gge,57,39
51302231296,cfc,222,211
51302295380,fcc,179,113
51302300766,gce,114,146
51302364025,ggf,263,146
51302395802,gdb,183,110
51302415332,ddg,185,212
